MorphID,SpID,Sex,N,ExpC,Peso,Acom,TotC,AlCdo,PrfP,AlAnc,AlLgo,Rasp,Rform,WiLo,Wtap,AlArea,ColaL,PataE,TarsL
1,Adelomyia melanogenys,Macho,11,15.19,4.49,5.09,17.16,57.48,1.87,23.23,63.73,7.14,2.74,0.2,0.3,11.37,38.05,12.55,6.3
2,Adelomyia melanogenys,Macho,21,14.89,4,5.06,16.96,54.26,1.89,21.76,60.45,6.97,2.78,0.19,0.25,10.5,36.85,11.95,5.91
3,Aglaiocercus coelestis,Macho,13,16.25,6.07,6.04,18.87,68.68,2.16,25.53,76.81,7.71,3.01,0.2,0.28,15.31,92.56,14.07,6.43
4,Aglaiocercus kingi,Macho,12,15.77,5.53,5.59,18.61,67.12,1.88,23.31,72.94,7.77,3.13,0.2,0.24,13.69,112.56,13.28,6.18
5,Aglaeactis cupripennis,Macho,17,18.71,8.44,5.79,21.98,85.62,1.96,31.79,95.35,7.79,3,0.18,0.3,23.37,48.92,15.06,7.21
6,Amazilia amazilia,Macho,18,18.54,4.07,5.23,20.84,53.33,1.99,19.31,60.21,7.67,3.12,0.22,0.23,9.47,29.08,10.09,4.87
7,Amazilia castaneiventris,Macho,1,18.7,4.75,5.9,20.5,52.7,2,19.8,62,7.7,3.13,0.24,0.23,9.99,29.4,10.2,5.1
8,Amazilia cyanura,Macho,18,17.77,4.94,5.16,20.03,54.5,2,19.25,60.51,7.73,3.15,0.26,0.23,9.48,30.41,10.31,5.19
9,Amazilia fimbriata,Macho,24,21,5.31,5.82,23.35,55.8,2.14,21.05,63.52,7.63,3.02,0.25,0.26,10.58,30.16,10.8,5.35
10,Amazilia fimbriata,Macho,15,20.31,4.96,5.61,22.61,54.44,2.13,20.69,62.83,7.58,3.04,0.24,0.25,10.42,29.6,10.33,5.16
11,Amazilia franciae,Macho,19,22.71,5.27,5.68,25.24,55.03,2.29,19.92,61.31,7.69,3.08,0.27,0.25,9.79,33.43,10.94,5.32
12,Amazilia saucerrottei,Macho,21,17.63,4.98,5.32,19.72,53.63,1.87,19.28,60,7.58,3.11,0.26,0.22,9.5,30.53,10.68,5.22
13,Amazilia saucerrottei,Macho,7,17.4,4.27,5.07,19.1,50.59,1.79,17.69,58.29,7.65,3.3,0.24,0.16,8.88,28.79,10.1,4.86
14,Amazilia tzacatl,Macho,25,20.14,5.02,5.96,22.12,55.55,2.17,20.67,62.66,7.52,3.03,0.24,0.24,10.45,32.93,10.63,5.24
15,Amazilia versicolor,Macho,10,15.87,3.73,5.18,18.15,49.93,1.78,17.96,55.6,7.6,3.1,0.23,0.23,8.14,28.14,9.31,4.71
16,Amazilia viridicauda,Macho,16,18.42,4.49,5.29,20.93,53.53,1.92,18.95,59.94,7.55,3.17,0.24,0.19,9.52,30.13,10.06,5.01
17,Anthocephala floriceps,Macho,5,14.84,2.76,4.46,16.42,50.36,1.6,17.62,55.94,7.54,3.18,0.17,0.19,8.3,30.2,8.36,4.18
18,Androdon aequatorialis,Macho,5,33.46,7.38,7.2,35.52,67.96,3.45,26.8,76.16,7.2,2.84,0.23,0.27,16.11,42.58,11.76,5.76
19,Anthracothorax nigricollis,Macho,23,24.23,7.51,6.58,27.48,69.26,2.46,23.75,77.74,7.99,3.28,0.25,0.22,15.14,38.55,11.61,5.7
20,Boissonneaua flavescens,Macho,13,16.88,8.44,6.75,19.92,78.42,2.25,28.49,87.66,7.75,3.08,0.21,0.26,19.86,47.07,14.2,6.68
