Original	Genus	Species	SpName
Adelomyia.melanogenys.8025	Adelomyia	melanogenys	Adelomyia_melanogenys
Aglaiocercus.coelestis.7813	Aglaiocercus	coelestis	Aglaiocercus_coelestis
Agliocercus.kingi.8017.bfib14	Aglaiocercus	kingi	Aglaiocercus_kingi
chalcostigma.herrani.6277	Chalcostigma	herrani	Chalcostigma_herrani
chalcostigma.ruficeps.1293	Chalcostigma	ruficeps	Chalcostigma_ruficeps
Oxypogon.guerini.zmc115370	Oxypogon	guerinii	Oxypogon_guerinii
Chalco.stanleyi.nk159810	Chalcostigma	stanleyi	Chalcostigma_stanleyi
Metallura.aeneocauda.1236	Metallura	aeneocauda	Metallura_aeneocauda
Metallura.baroni.zmc113658	Metallura	baroni	Metallura_baroni
Metallura.williami.5939	Metallura	williami	Metallura_williami
Metallura.odomae.353	Metallura	odomae	Metallura_odomae
Metallura.tyrianthina.6272	Metallura	tyrianthina	Metallura_tyrianthina
Metallura.phoebe.103876	Metallura	phoebe	Metallura_phoebe
Opisthopr.euryptera.zmc115166	Opisthoprora	euryptera	Opisthoprora_euryptera
Lesbia.nuna.3615	Lesbia	nuna	Lesbia_nuna
Lesbia.victoriae.zmc.113657	Lesbia	victoriae	Lesbia_victoriae
Ramphomicron.microrhyn.8376	Ramphomicron	microrhynchum	Ramphomicron_microrhynchum
Sappho.sparganura.1195	Sappho	sparganura	Sappho_sparganura
oreotroch.chimborazo.zmc114549	Oreotrochilus	chimborazo	Oreotrochilus_chimborazo
oreotroch.estella.103835	Oreotrochilus	estella	Oreotrochilus_estella
Heliangelus.amethysticol.6246	Heliangelus	amethysticollis	Heliangelus_amethysticollis
Heliangelus.exortis.31990	Heliangelus	exortis	Heliangelus_exortis
Heliangelus.micraster.34698	Heliangelus	micraster	Heliangelus_micraster
Heliangelus.viola.32370	Heliangelus	viola	Heliangelus_viola
Heliangelus.strophianus.6296	Heliangelus	strophianus	Heliangelus_strophianus
Phlogophilus.hemileucurus.5999	Phlogophilus	hemileucurus	Phlogophilus_hemileucurus
Discosura.conversii.16064	Discosura	conversii	Discosura_conversii
Discosura.langsdorfii.9633	Discosura	langsdorffi	Discosura_langsdorffi
Discosura.popelairii.5950	Discosura	popelairii	Discosura_popelairii
Discosura.longic.nmnh5265	Discosura	longicaudus	Discosura_longicaudus
Lophornis.chalybeus.9399	Lophornis	chalybeus	Lophornis_chalybeus
Lophornis.delattrei.22644	Lophornis	delattrei	Lophornis_delattrei
Aglaeactis.cupripennis.6304	Aglaeactis	cupripennis	Aglaeactis_cupripennis
Aglaeactis.pamela.106743	Aglaeactis	pamela	Aglaeactis_pamela
Lafresnaya.lafresnayi.32771	Lafresnaya	lafresnayi	Lafresnaya_lafresnayi
Boissonn.flavescens.12099	Boissonneaua	flavescens	Boissonneaua_flavescens
Boisson.mathewsii.8130	Boissonneaua	matthewsii	Boissonneaua_matthewsii
Ocreatus.underwoodii.22594	Ocreatus	underwoodii	Ocreatus_underwoodii
Urosticte.benjamani.5546	Urosticte	benjamini	Urosticte_benjamini
Urosticte.ruficrissa.Juan.i2325	Urosticte	ruficrissa	Urosticte_ruficrissa
Ensifera.ensifera.8224	Ensifera	ensifera	Ensifera_ensifera
Pterophanes.cyanopterus.1296	Pterophanes	cyanopterus	Pterophanes_cyanopterus
Heliodoxa.aurescens.6789	Heliodoxa	aurescens	Heliodoxa_aurescens
Heliodoxa.imperatrix.12088	Heliodoxa	imperatrix	Heliodoxa_imperatrix
Heliodoxa.jacula.16037	Heliodoxa	jacula	Heliodoxa_jacula
Heliodoxa.leadbeateri.6036	Heliodoxa	leadbeateri	Heliodoxa_leadbeateri
Heliodoxa.rubinoides.1651	Heliodoxa	rubinoides	Heliodoxa_rubinoides
Heliodoxa.branickii.1996	Heliodoxa	branickii	Heliodoxa_branickii
Heliodoxa.gularis.5428	Heliodoxa	gularis	Heliodoxa_gularis
heliodoxa.schreibersii.5440	Heliodoxa	schreibersii	Heliodoxa_schreibersii
Urochroa.bougueri.zmc114654	Urochroa	bougueri	Urochroa_bougueri
Coeligena.bonapartei.IAVHB.4188	Coeligena	bonapartei	Coeligena_bonapartei
Coelig.helianthea.Juan.2504	Coeligena	helianthea	Coeligena_helianthea
Coeligena.lutetia.340	Coeligena	lutetiae	Coeligena_lutetiae
Coeligena.orina.PCPR1	Coeligena	orina	Coeligena_orina
Coelig.phalerata.Juan.i485	Coeligena	phalerata	Coeligena_phalerata
Coeligena.iris.31770	Coeligena	iris	Coeligena_iris
Coeligena.violifer.8200	Coeligena	violifer	Coeligena_violifer
Coeligena.torquata.6230	Coeligena	torquata	Coeligena_torquata
Coeligena.coeligena.IAVH5334	Coeligena	coeligena	Coeligena_coeligena
Coeligena.wilsoni.7858	Coeligena	wilsoni	Coeligena_wilsoni
Coelig.prunellei.Juan42	Coeligena	prunellei	Coeligena_prunellei
Eriocnemis.alinae.1805	Eriocnemis	alinae	Eriocnemis_alinae
Eriocn.cupreiventris.Juan.i2558	Eriocnemis	cupreoventris	Eriocnemis_cupreoventris
Eriocnemis.derbyi.ANSP15698	Eriocnemis	derbyi	Eriocnemis_derbyi
Eriocnemis.luciani.6337	Eriocnemis	luciani	Eriocnemis_luciani
Eriocn.glaucopoides.uwbm77170	Eriocnemis	glaucopoides	Eriocnemis_glaucopoides
Eriocnemis.mosquera.6335	Eriocnemis	mosquera	Eriocnemis_mosquera
Eriocnem.nigrivestis.zmc114629	Eriocnemis	nigrivestis	Eriocnemis_nigrivestis
Eriocnemis.vestitus.324	Eriocnemis	vestita	Eriocnemis_vestita
Haplophaedia.aureliae.32971	Haplophaedia	aureliae	Haplophaedia_aureliae
Haplophaedia.lugens.30032	Haplophaedia	lugens	Haplophaedia_lugens
Amazilia.amabilis.28753	Amazilia	amabilis	Amazilia_amabilis
Amazilia.rosenbergi.zmc114807	Amazilia	rosenbergi	Amazilia_rosenbergi
Amazilia.chionogaster.17165	Amazilia	chionogaster	Amazilia_chionogaster
Amazilia.viridicauda.8158	Amazilia	viridicauda	Amazilia_viridicauda
Hylocharis.chrysura.1503	Hylocharis	chrysura	Hylocharis_chrysura
Hylocharis.sapphirina.12912	Hylocharis	sapphirina	Hylocharis_sapphirina
Amazilia.fimbriata.5956	Amazilia	fimbriata	Amazilia_fimbriata
Amazilia.lactea.9484	Amazilia	lactea	Amazilia_lactea
Damophila.julie.16556	Damophila	julie	Damophila_julie
Hylocharis.cyanus.9547	Hylocharis	cyanus	Hylocharis_cyanus
Amazilia.amazilia.14263	Amazilia	amazilia	Amazilia_amazilia
Amazilia.franciae.12063	Amazilia	franciae	Amazilia_franciae
Amazilia.versicolor.fmnh395409	Amazilia	versicolor	Amazilia_versicolor
Chrysuronia.oenone.5381	Chrysuronia	oenone	Chrysuronia_oenone
Lepidopyga.goudoti.jcc	Lepidopyga	goudoti	Lepidopyga_goudoti
LEPIDOPYGA.CAERULEO.29053	Lepidopyga	coeruleogularis	Lepidopyga_coeruleogularis
Hylocharis.grayi.ansp.5064	Hylocharis	grayi	Hylocharis_grayi
Amazilia.tzacatl.16538	Amazilia	tzacatl	Amazilia_tzacatl
Leucippus.chlorocercus.7264	Leucippus	chlorocercus	Leucippus_chlorocercus
Amazilia.castaneiventris.oc	Amazilia	castaneiventris	Amazilia_castaneiventris
Amazil.saucerottia.JVLP34	Amazilia	saucerrottei	Amazilia_saucerrottei
Amazilia.viridigaster.7587	Amazilia	viridigaster	Amazilia_viridigaster
Eupetomena.macroura.15299	Eupetomena	macroura	Eupetomena_macroura
Taphrospilus.hypostictus.5465	Taphrospilus	hypostictus	Taphrospilus_hypostictus
Leucippus.baeri.5232	Leucippus	baeri	Leucippus_baeri
Phaeochroa.cuvierii.26913	Phaeochroa	cuvierii	Phaeochroa_cuvierii
Chalybura.buffonii.26911	Chalybura	buffonii	Chalybura_buffonii
Chalybura.urochrysia.28467	Chalybura	urochrysia	Chalybura_urochrysia
Thalurania.colombica.11793	Thalurania	colombica	Thalurania_colombica
Thalurania.fannyi.7867	Thalurania	fannyi	Thalurania_fannyi
Thalurania.furcata.22683	Thalurania	furcata	Thalurania_furcata
Thalur.glaucopus.fmnh395402	Thalurania	glaucopis	Thalurania_glaucopis
Anthoc.floriceps.Juan.i1269	Anthocephala	floriceps	Anthocephala_floriceps
Stephanoxis.lalandi.25958	Stephanoxis	lalandi	Stephanoxis_lalandi
Klais.guimeti.6168	Klais	guimeti	Klais_guimeti
Campylopt.falcatus.IAVHP.77	Campylopterus	falcatus	Campylopterus_falcatus
Campylopt.villaviscen.5588	Campylopterus	villaviscensio	Campylopterus_villaviscensio
Campylopt.largipennis.4474	Campylopterus	largipennis	Campylopterus_largipennis
Chlores.not.cyan.fmnh392810	Chlorestes	notata	Chlorestes_notata
Chlorostilb.aureoventris.18899	Chlorostilbon	aureoventris	Chlorostilbon_aureoventris
Chlorostilbon.mellisugus.9450	Chlorostilbon	mellisugus	Chlorostilbon_mellisugus
Chlorostilb.melanorhynch.6327	Chlorostilbon	melanorhynchus	Chlorostilbon_melanorhynchus
Chlorostilb.poortmani.Juan.i4198	Chlorostilbon	poortmani	Chlorostilbon_poortmani
Calliphlox.amet.nmnhb10703	Calliphlox	amethystina	Calliphlox_amethystina
Calliphlox.mitchellii.12194	Calliphlox	mitchellii	Calliphlox_mitchellii
Chaetocercus.bombus.5225	Chaetocercus	bombus	Chaetocercus_bombus
Chaetocercus.mulsant.6301	Chaetocercus	mulsant	Chaetocercus_mulsant
Microstilbon.burmeist.zmc.114832	Microstilbon	burmeisteri	Microstilbon_burmeisteri
myrmia.micrura.5233	Myrmia	micrura	Myrmia_micrura
Thaumastura.cora.14278	Thaumastura	cora	Thaumastura_cora
Myrtis.fanny.3592	Myrtis	fanny	Myrtis_fanny
Heliomaster.furcifer.6709	Heliomaster	furcifer	Heliomaster_furcifer
Heliomaster.longirostris.18268	Heliomaster	longirostris	Heliomaster_longirostris
Patagona.gigas.6303	Patagona	gigas	Patagona_gigas
Androdon.aequatorialis.1402	Androdon	aequatorialis	Androdon_aequatorialis
Heliothryx.auritus.6913	Heliothryx	auritus	Heliothryx_auritus
Heliothryx.barroti.12039	Heliothryx	barroti	Heliothryx_barroti
Anthrac.nigricollis.9652	Anthracothorax	nigricollis	Anthracothorax_nigricollis
Anthrac.prevostii.nmnhb360	Anthracothorax	prevostii	Anthracothorax_prevostii
Chrysolamp.mosquitus.35902	Chrysolampis	mosquitus	Chrysolampis_mosquitus
Avocettula.recurv.fmnh334368	Avocettula	recurvirostris	Avocettula_recurvirostris
Polytmus.guainumbi.6691	Polytmus	guainumbi	Polytmus_guainumbi
Polytmus.theresiae.nmnh10307	Polytmus	theresiae	Polytmus_theresiae
Colibri.coruscans.6310	Colibri	coruscans	Colibri_coruscans
Colibri.delphinae.5403	Colibri	delphinae	Colibri_delphinae
Colibri.thalassinus.28263	Colibri	thalassinus	Colibri_thalassinus
Colibri.serrirostris.14576	Colibri	serrirostris	Colibri_serrirostris
